Cameo video price,Price Group,Wikipedia,FF Celebrity rating,FF Main category rating,Catergory_Actors,Catergory_Artists,Catergory_Athletes,Catergory_Business People,Catergory_Chefs,Catergory_Comedians,Catergory_Models,Catergory_Musicians,Catergory_Personalities,Catergory_Public Figures,Catergory_Writers,cameo video price category
72.0,$100-499.99,8608,202.0,90,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
20.0,$10.00-$24.99,3526,1524.0,177,0,0,0,0,0,0,0,0,0,1,0,$10.00-$24.99
50.0,$25.00-$49.99,1816,948.0,2,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
133.0,$500 and above,1558,369.0,27,0,0,0,0,0,0,0,0,0,1,0,$500 and above
500.0,$500 and above,6460,101.0,43,1,0,0,0,0,0,0,0,0,0,0,$500 and above
80.0,$100-499.99,1363,638.0,6,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
25.0,$10.00-$24.99,5793,2381.0,1141,1,0,0,0,0,0,0,0,0,0,0,$10.00-$24.99
50.0,$25.00-$49.99,3254,1384.0,19,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
99.0,$100-499.99,2670,760.0,4,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
49.0,$25.00-$49.99,449,1702.0,1,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
32.0,$25.00-$49.99,1984,2611.0,17,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
53.0,$100-499.99,4372,1594.0,796,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
55.0,$100-499.99,5260,1566.0,780,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
150.0,$500 and above,9347,609.0,316,1,0,0,0,0,0,0,0,0,0,0,$500 and above
110.0,$500 and above,1736,858.0,97,0,0,0,0,0,0,0,1,0,0,0,$500 and above
100.0,$100-499.99,1857,982.0,9,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
19.0,$10.00-$24.99,218,5194.0,78,0,0,1,0,0,0,0,0,0,0,0,$10.00-$24.99
75.0,$100-499.99,9634,1324.0,144,0,0,0,0,0,0,0,0,0,1,0,$100-499.99
100.0,$100-499.99,3412,1025.0,12,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
