Full name,Price Group,Cameo video price,Wikipedia,FF Celebrity rating,FF Main category rating,Catergory_Actors,Catergory_Artists,Catergory_Athletes,Catergory_Business People,Catergory_Chefs,Catergory_Comedians,Catergory_Models,Catergory_Musicians,Catergory_Personalities,Catergory_Public Figures,Catergory_Writers,Actuals,Predictions
Marla Maples,$50.01-100.00,72.0,8608,202.0,90,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$250.01-500.00
Gina Rodriguez,$10.01-25.00,20.0,3526,1524.0,177,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$50.01-100.00
Nancy Kerrigan,$25.01-50.00,50.0,1816,948.0,2,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$100.01-250.00
LaVar Ball,$100.01-250.00,133.0,1558,369.0,27,0,0,0,0,0,0,0,0,0,1,0,$100.01-250.00,$50.01-100.00
Ice Cube,$250.01-500.00,500.0,6460,101.0,43,1,0,0,0,0,0,0,0,0,0,0,$250.01-500.00,$250.01-500.00
Johnny Walker,$50.01-100.00,80.0,1363,638.0,6,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Jonah Falcon,$10.01-25.00,25.0,5793,2381.0,1141,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$250.01-500.00
The Great Khali,$25.01-50.00,50.0,3254,1384.0,19,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$25.01-50.00
Lisa Ann,$50.01-100.00,99.0,2670,760.0,4,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Amberley Snyder,$25.01-50.00,49.0,449,1702.0,1,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$25.01-50.00
Bree Olson,$25.01-50.00,32.0,1984,2611.0,17,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$100.01-250.00
Stacey Dash,$50.01-100.00,53.0,4372,1594.0,796,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Mimi Rogers,$50.01-100.00,55.0,5260,1566.0,780,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$250.01-500.00
Priscilla Presley,$100.01-250.00,150.0,9347,609.0,316,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$250.01-500.00
Lil Xan,$100.01-250.00,110.0,1736,858.0,97,0,0,0,0,0,0,0,1,0,0,0,$100.01-250.00,$100.01-250.00
Holly Holm,$50.01-100.00,100.0,1857,982.0,9,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
James Ellsworth,$10.01-25.00,19.0,218,5194.0,78,0,0,1,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Elle King,$50.01-100.00,75.0,9634,1324.0,144,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$100.01-250.00
Kurt Angle,$50.01-100.00,100.0,3412,1025.0,12,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Anthony Rapp,$25.01-50.00,50.0,2365,2086.0,1017,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Taryn Manning,$25.01-50.00,35.0,1813,3070.0,1429,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$100.01-250.00
Mia Khalifa,$250.01-500.00,300.0,21585,361.0,1,1,0,0,0,0,0,0,0,0,0,0,$250.01-500.00,$100.01-250.00
Farrah Abraham,$50.01-100.00,95.0,1989,1166.0,1,0,0,0,0,0,0,0,0,1,0,0,$50.01-100.00,$50.01-100.00
Mara Wilson,$50.01-100.00,65.0,7622,1711.0,855,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$250.01-500.00
Anthony Scaramucci,$50.01-100.00,55.0,2091,2087.0,84,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$50.01-100.00
Adrianne Palicki,$50.01-100.00,75.0,3321,1541.0,766,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Johanna Konta,$25.01-50.00,50.0,305,2639.0,20,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$100.01-250.00
Alexis Knapp,$25.01-50.00,44.44,3037,2970.0,1392,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$100.01-250.00
Sean Spicer,$100.01-250.00,199.0,994,682.0,34,0,0,0,0,0,0,0,0,0,1,0,$100.01-250.00,$100.01-250.00
Eric Roberts,$50.01-100.00,90.0,4331,1508.0,754,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Greg Sestero,$25.01-50.00,45.0,1330,3027.0,1411,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$100.01-250.00
Lacey Chabert,$100.01-250.00,175.0,3373,787.0,405,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$100.01-250.00
Corey Harrison,$10.01-25.00,20.0,1381,7571.0,1163,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$50.01-100.00
Danny Trejo,$100.01-250.00,125.0,4837,1229.0,626,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$100.01-250.00
Manu Bennett,$25.01-50.00,40.0,1009,3861.0,1736,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Nadia Comaneci,$25.01-50.00,50.0,1963,3105.0,3,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$25.01-50.00
Ken Shamrock,$25.01-50.00,40.0,1961,3893.0,55,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$25.01-50.00
Ryan McCartan,$25.01-50.00,30.0,1377,5262.0,740,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$50.01-100.00
Rick Dempsey,$100.01-250.00,150.0,5838,1055.0,545,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$250.01-500.00
Floyd Mayweather,$500.01-1000.00,999.0,6938,160.0,2,0,0,1,0,0,0,0,0,0,0,0,$500.01-1000.00,$250.01-500.00
Katie Hopkins,$25.01-50.00,50.0,1831,3213.0,398,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$100.01-250.00
DJ Qualls,$25.01-50.00,40.0,2240,4018.0,1794,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$100.01-250.00
Victor Ortiz,$10.01-25.00,20.0,541,8220.0,57,0,0,1,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Johnathon Schaech,$10.01-25.00,25.0,1440,6700.0,2686,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Doug Jones,$50.01-100.00,60.0,1891,2805.0,1325,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Chumlee,$50.01-100.00,85.0,4227,1985.0,230,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$50.01-100.00
Anne Dudek,$10.01-25.00,15.0,1154,11321.0,4003,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Joy Taylor,$10.01-25.00,25.0,1160,6801.0,1019,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$50.01-100.00
Snoop Dogg,$1000.01-5000.00,1200.0,15465,142.0,25,0,0,0,0,0,0,0,1,0,0,0,$1000.01-5000.00,$100.01-250.00
Justin Gatlin,$25.01-50.00,50.0,735,3569.0,4,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$100.01-250.00
Brandon Perea,$10.01-25.00,15.0,84,11974.0,2032,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$10.01-25.00
Randy Couture,$25.01-50.00,50.0,2091,3648.0,51,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$25.01-50.00
Corey Feldman,$100.01-250.00,202.0,7832,903.0,456,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$250.01-500.00
Tyron Woodley,$50.01-100.00,100.0,2158,1834.0,18,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$25.01-50.00
Dennis Bermudez,$5.01-10.00,10.0,121,18355.0,249,0,0,1,0,0,0,0,0,0,0,0,$5.01-10.00,$50.01-100.00
Gina Miller,$10.01-25.00,15.0,130,12295.0,2101,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Andy Milonakis,$50.01-100.00,90.0,2369,2069.0,1011,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Naomi Grossman,$10.01-25.00,20.0,591,9513.0,1535,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Rumer Willis,$50.01-100.00,79.0,2868,2426.0,1163,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Miesha Tate,$50.01-100.00,90.0,1195,2137.0,22,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Melina Perez,$10.01-25.00,25.0,631,7790.0,130,0,0,1,0,0,0,0,0,0,0,0,$10.01-25.00,$100.01-250.00
Neal McDonough,$25.01-50.00,50.0,2714,3933.0,1761,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Jennifer Hale,$10.01-25.00,25.0,1160,7922.0,3070,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Marcin Tybura,$5.01-10.00,10.0,223,19948.0,275,0,0,1,0,0,0,0,0,0,0,0,$5.01-10.00,$25.01-50.00
Lindsay Lohan,$250.01-500.00,430.0,6576,465.0,229,1,0,0,0,0,0,0,0,0,0,0,$250.01-500.00,$250.01-500.00
Vicky Pattison,$25.01-50.00,33.0,613,6066.0,104,0,0,0,0,0,0,0,0,1,0,0,$25.01-50.00,$50.01-100.00
Shanna Moakler,$10.01-25.00,25.0,1017,8061.0,3118,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Eva Amurri,$25.01-50.00,45.0,1879,4495.0,612,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$50.01-100.00
Lea Thompson,$50.01-100.00,100.0,6187,2026.0,993,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$250.01-500.00
Chuck Norris,$250.01-500.00,350.0,6775,581.0,296,1,0,0,0,0,0,0,0,0,0,0,$250.01-500.00,$250.01-500.00
