Full name,Price Group,Cameo video price,Wikipedia,FF Celebrity rating,FF Main category rating,Catergory_Actors,Catergory_Artists,Catergory_Athletes,Catergory_Business People,Catergory_Chefs,Catergory_Comedians,Catergory_Models,Catergory_Musicians,Catergory_Personalities,Catergory_Public Figures,Catergory_Writers
Marla Maples,5,72.0,8608,202.0,90,1,0,0,0,0,0,0,0,0,0,0
Gina Rodriguez,3,20.0,3526,1524.0,177,0,0,0,0,0,0,0,0,0,1,0
Nancy Kerrigan,4,50.0,1816,948.0,2,0,0,1,0,0,0,0,0,0,0,0
LaVar Ball,6,133.0,1558,369.0,27,0,0,0,0,0,0,0,0,0,1,0
Ice Cube,7,500.0,6460,101.0,43,1,0,0,0,0,0,0,0,0,0,0
Johnny Walker,5,80.0,1363,638.0,6,0,0,1,0,0,0,0,0,0,0,0
Jonah Falcon,3,25.0,5793,2381.0,1141,1,0,0,0,0,0,0,0,0,0,0
The Great Khali,4,50.0,3254,1384.0,19,0,0,1,0,0,0,0,0,0,0,0
Lisa Ann,5,99.0,2670,760.0,4,1,0,0,0,0,0,0,0,0,0,0
Amberley Snyder,4,49.0,449,1702.0,1,0,0,1,0,0,0,0,0,0,0,0
Bree Olson,4,32.0,1984,2611.0,17,1,0,0,0,0,0,0,0,0,0,0
Stacey Dash,5,53.0,4372,1594.0,796,1,0,0,0,0,0,0,0,0,0,0
Mimi Rogers,5,55.0,5260,1566.0,780,1,0,0,0,0,0,0,0,0,0,0
Priscilla Presley,6,150.0,9347,609.0,316,1,0,0,0,0,0,0,0,0,0,0
Lil Xan,6,110.0,1736,858.0,97,0,0,0,0,0,0,0,1,0,0,0
Holly Holm,5,100.0,1857,982.0,9,0,0,1,0,0,0,0,0,0,0,0
James Ellsworth,3,19.0,218,5194.0,78,0,0,1,0,0,0,0,0,0,0,0
Elle King,5,75.0,9634,1324.0,144,0,0,0,0,0,0,0,0,0,1,0
Kurt Angle,5,100.0,3412,1025.0,12,0,0,1,0,0,0,0,0,0,0,0
Anthony Rapp,4,50.0,2365,2086.0,1017,1,0,0,0,0,0,0,0,0,0,0
Taryn Manning,4,35.0,1813,3070.0,1429,1,0,0,0,0,0,0,0,0,0,0
Mia Khalifa,7,300.0,21585,361.0,1,1,0,0,0,0,0,0,0,0,0,0
Farrah Abraham,5,95.0,1989,1166.0,1,0,0,0,0,0,0,0,0,1,0,0
Mara Wilson,5,65.0,7622,1711.0,855,1,0,0,0,0,0,0,0,0,0,0
Anthony Scaramucci,5,55.0,2091,2087.0,84,0,0,0,0,0,0,0,0,0,1,0
Adrianne Palicki,5,75.0,3321,1541.0,766,1,0,0,0,0,0,0,0,0,0,0
Johanna Konta,4,50.0,305,2639.0,20,0,0,1,0,0,0,0,0,0,0,0
Alexis Knapp,4,44.44,3037,2970.0,1392,1,0,0,0,0,0,0,0,0,0,0
Sean Spicer,6,199.0,994,682.0,34,0,0,0,0,0,0,0,0,0,1,0
Eric Roberts,5,90.0,4331,1508.0,754,1,0,0,0,0,0,0,0,0,0,0
Greg Sestero,4,45.0,1330,3027.0,1411,1,0,0,0,0,0,0,0,0,0,0
Lacey Chabert,6,175.0,3373,787.0,405,1,0,0,0,0,0,0,0,0,0,0
Corey Harrison,3,20.0,1381,7571.0,1163,0,0,0,0,0,0,0,0,0,1,0
Danny Trejo,6,125.0,4837,1229.0,626,1,0,0,0,0,0,0,0,0,0,0
Manu Bennett,4,40.0,1009,3861.0,1736,1,0,0,0,0,0,0,0,0,0,0
Nadia Comaneci,4,50.0,1963,3105.0,3,0,0,1,0,0,0,0,0,0,0,0
Ken Shamrock,4,40.0,1961,3893.0,55,0,0,1,0,0,0,0,0,0,0,0
Ryan McCartan,4,30.0,1377,5262.0,740,0,0,0,0,0,0,0,0,0,1,0
Rick Dempsey,6,150.0,5838,1055.0,545,1,0,0,0,0,0,0,0,0,0,0
Floyd Mayweather,8,999.0,6938,160.0,2,0,0,1,0,0,0,0,0,0,0,0
Katie Hopkins,4,50.0,1831,3213.0,398,0,0,0,0,0,0,0,0,0,1,0
DJ Qualls,4,40.0,2240,4018.0,1794,1,0,0,0,0,0,0,0,0,0,0
Victor Ortiz,3,20.0,541,8220.0,57,0,0,1,0,0,0,0,0,0,0,0
Johnathon Schaech,3,25.0,1440,6700.0,2686,1,0,0,0,0,0,0,0,0,0,0
Doug Jones,5,60.0,1891,2805.0,1325,1,0,0,0,0,0,0,0,0,0,0
Chumlee,5,85.0,4227,1985.0,230,0,0,0,0,0,0,0,0,0,1,0
Anne Dudek,3,15.0,1154,11321.0,4003,1,0,0,0,0,0,0,0,0,0,0
Joy Taylor,3,25.0,1160,6801.0,1019,0,0,0,0,0,0,0,0,0,1,0
Snoop Dogg,9,1200.0,15465,142.0,25,0,0,0,0,0,0,0,1,0,0,0
Justin Gatlin,4,50.0,735,3569.0,4,0,0,1,0,0,0,0,0,0,0,0
Brandon Perea,3,15.0,84,11974.0,2032,0,0,0,0,0,0,0,0,0,1,0
Randy Couture,4,50.0,2091,3648.0,51,0,0,1,0,0,0,0,0,0,0,0
Corey Feldman,6,202.0,7832,903.0,456,1,0,0,0,0,0,0,0,0,0,0
Tyron Woodley,5,100.0,2158,1834.0,18,0,0,1,0,0,0,0,0,0,0,0
Dennis Bermudez,2,10.0,121,18355.0,249,0,0,1,0,0,0,0,0,0,0,0
Gina Miller,3,15.0,130,12295.0,2101,0,0,0,0,0,0,0,0,0,1,0
Andy Milonakis,5,90.0,2369,2069.0,1011,1,0,0,0,0,0,0,0,0,0,0
Naomi Grossman,3,20.0,591,9513.0,1535,0,0,0,0,0,0,0,0,0,1,0
Rumer Willis,5,79.0,2868,2426.0,1163,1,0,0,0,0,0,0,0,0,0,0
Miesha Tate,5,90.0,1195,2137.0,22,0,0,1,0,0,0,0,0,0,0,0
Melina Perez,3,25.0,631,7790.0,130,0,0,1,0,0,0,0,0,0,0,0
Neal McDonough,4,50.0,2714,3933.0,1761,1,0,0,0,0,0,0,0,0,0,0
Jennifer Hale,3,25.0,1160,7922.0,3070,1,0,0,0,0,0,0,0,0,0,0
Marcin Tybura,2,10.0,223,19948.0,275,0,0,1,0,0,0,0,0,0,0,0
Lindsay Lohan,7,430.0,6576,465.0,229,1,0,0,0,0,0,0,0,0,0,0
Vicky Pattison,4,33.0,613,6066.0,104,0,0,0,0,0,0,0,0,1,0,0
Shanna Moakler,3,25.0,1017,8061.0,3118,1,0,0,0,0,0,0,0,0,0,0
Eva Amurri,4,45.0,1879,4495.0,612,0,0,0,0,0,0,0,0,0,1,0
Lea Thompson,5,100.0,6187,2026.0,993,1,0,0,0,0,0,0,0,0,0,0
Chuck Norris,7,350.0,6775,581.0,296,1,0,0,0,0,0,0,0,0,0,0
Tia Carrere,5,60.0,2921,3404.0,1564,1,0,0,0,0,0,0,0,0,0,0
Tara Strong,5,100.0,2854,2059.0,1006,1,0,0,0,0,0,0,0,0,0,0
Gregg Sulkin,4,49.0,1637,4332.0,588,0,0,0,0,0,0,0,0,0,1,0
Darren Till,5,100.0,7068,2152.0,23,0,0,1,0,0,0,0,0,0,0,0
Lyoto Machida,4,50.0,2075,4330.0,62,0,0,1,0,0,0,0,0,0,0,0
Vince Papale,4,50.0,869,4399.0,108,0,0,1,0,0,0,0,0,0,0,0
Joely Fisher,5,75.0,1163,2984.0,1395,1,0,0,0,0,0,0,0,0,0,0
Dolph Lundgren,7,350.0,6580,642.0,331,1,0,0,0,0,0,0,0,0,0,0
Caitlyn Jenner,9,2500.0,11921,90.0,2,0,0,0,0,0,0,0,0,0,1,0
Chanel West Coast,6,250.0,4545,901.0,87,0,0,0,0,0,0,0,0,0,1,0
Kareem Abdul-Jabbar,7,500.0,6952,451.0,11,0,0,1,0,0,0,0,0,0,0,0
Paul McDonald,3,20.0,1000,11384.0,1178,0,0,0,0,0,0,0,1,0,0,0
Candis Cayne,4,50.0,566,4583.0,628,0,0,0,0,0,0,0,0,0,1,0
Chase Crawford,1,1.0,37,230115.0,36602,0,0,0,0,0,0,0,0,0,1,0
Kato Kaelin,5,60.0,791,3876.0,1740,1,0,0,0,0,0,0,0,0,0,0
Krista Allen,4,30.0,1106,7774.0,3031,1,0,0,0,0,0,0,0,0,0,0
Mick Foley,5,95.0,2664,2455.0,1175,1,0,0,0,0,0,0,0,0,0,0
Buck Angel,3,25.0,971,9359.0,210,0,0,0,0,0,0,0,0,1,0,0
Chad Michael Murray,6,200.0,4199,1170.0,595,1,0,0,0,0,0,0,0,0,0,0
Mark Henry,5,60.0,1534,3915.0,58,0,0,1,0,0,0,0,0,0,0,0
Matt Hardy,6,110.0,1699,2138.0,29,0,0,1,0,0,0,0,0,0,0,0
Denise Richards,6,250.0,9549,941.0,480,1,0,0,0,0,0,0,0,0,0,0
Justin Long,6,125.0,4114,1887.0,930,1,0,0,0,0,0,0,0,0,0,0
Meat Loaf,6,160.0,4076,1481.0,139,0,0,0,0,0,0,0,1,0,0,0
Jorgie Porter,3,20.0,233,11893.0,2015,0,0,0,0,0,0,0,0,0,1,0
Tommy Chong,6,150.0,3288,1587.0,792,1,0,0,0,0,0,0,0,0,0,0
Bex Taylor-Klaus,4,35.0,829,6821.0,2719,1,0,0,0,0,0,0,0,0,0,0
Lon Kruger,2,10.0,58,23908.0,116,0,0,1,0,0,0,0,0,0,0,0
Kristy Swanson,4,50.0,2040,4788.0,2074,1,0,0,0,0,0,0,0,0,0,0
Ashley Greene,5,65.0,2736,3717.0,1684,1,0,0,0,0,0,0,0,0,0,0
Trace Cyrus,5,95.0,2909,2573.0,307,0,0,0,0,0,0,0,0,0,1,0
Greg Oden,4,50.0,861,4907.0,124,0,0,1,0,0,0,0,0,0,0,0
Josh Johnson,3,20.0,142,12387.0,348,0,0,1,0,0,0,0,0,0,0,0
Alicia Witt,5,85.0,2470,2928.0,1375,1,0,0,0,0,0,0,0,0,0,0
Malcolm Mcdowell,5,100.0,3101,2493.0,1192,1,0,0,0,0,0,0,0,0,0,0
Dean Cain,5,100.0,3107,2502.0,1195,1,0,0,0,0,0,0,0,0,0,0
Rae Dawn Chong,4,50.0,1559,5005.0,2152,1,0,0,0,0,0,0,0,0,0,0
Sara Paxton,4,40.0,1442,6319.0,2566,1,0,0,0,0,0,0,0,0,0,0
Annie Jones,1,5.0,112,50732.0,1664,0,0,0,0,0,0,0,1,0,0,0
Aiden English,4,29.0,515,8801.0,147,0,0,1,0,0,0,0,0,0,0,0
Frankie Shaw,5,55.0,952,4645.0,2023,1,0,0,0,0,0,0,0,0,0,0
Mathew Knowles,4,40.0,1838,6422.0,2595,1,0,0,0,0,0,0,0,0,0,0
Janice Dickinson,4,50.0,1304,5173.0,63,0,0,0,0,0,0,1,0,0,0,0
Mike Love,4,50.0,1328,5180.0,491,0,0,0,0,0,0,0,1,0,0,0
James Remar,4,50.0,1728,5184.0,2210,1,0,0,0,0,0,0,0,0,0,0
Troy Baker,5,65.0,2720,3989.0,522,0,0,0,0,0,0,0,0,0,1,0
Paige Vanzant,5,100.0,2386,2595.0,28,0,0,1,0,0,0,0,0,0,0,0
Marin Cilic,5,65.0,335,4002.0,31,0,0,1,0,0,0,0,0,0,0,0
Frank Mir,4,50.0,1270,5220.0,80,0,0,1,0,0,0,0,0,0,0,0
Lynn Collins,4,50.0,1313,5244.0,2228,1,0,0,0,0,0,0,0,0,0,0
Lorenzo Lamas,4,50.0,1912,5262.0,2231,1,0,0,0,0,0,0,0,0,0,0
Jennifer Jones,2,10.0,39,26515.0,3,0,0,1,0,0,0,0,0,0,0,0
Dean McDermott,3,25.0,699,10607.0,3804,1,0,0,0,0,0,0,0,0,0,0
Alice Cooper,7,300.0,4032,884.0,100,0,0,0,0,0,0,0,1,0,0,0
Tracey Gold,3,25.0,871,10641.0,3814,1,0,0,0,0,0,0,0,0,0,0
Ian Alexander,4,40.0,727,6668.0,1000,0,0,0,0,0,0,0,0,0,1,0
Mike Rutherford,3,15.0,668,17979.0,1954,0,0,0,0,0,0,0,1,0,0,0
Lizzie Velasquez,4,50.0,3118,5413.0,91,0,0,0,0,0,0,0,0,1,0,0
Jack Falahee,5,65.0,1598,4169.0,554,0,0,0,0,0,0,0,0,0,1,0
Lauren Gottlieb,4,40.0,591,6801.0,9,0,0,0,0,0,0,1,0,0,0,0
Jenny Ryan,3,25.0,669,10968.0,1845,0,0,0,0,0,0,0,0,0,1,0
Joseph Parker,5,80.0,880,3430.0,24,0,0,1,0,0,0,0,0,0,0,0
Julie Benz,5,75.0,2162,3662.0,1665,1,0,0,0,0,0,0,0,0,0,0
Tanushree Dutta,5,70.0,1650,3943.0,8,0,0,0,0,0,0,0,0,1,0,0
Joy Villa,4,45.0,602,6176.0,906,0,0,0,0,0,0,0,0,0,1,0
Adrien Broner,5,100.0,2267,2783.0,19,0,0,1,0,0,0,0,0,0,0,0
Bob Sapp,4,50.0,1721,5612.0,88,0,0,1,0,0,0,0,0,0,0,0
